49.0,29.0,48.0,56.0,24.0,35.0,negative_c0
7.0,4.0,48.0,54.0,35.0,44.0,negative_c0
56.0,4.0,48.0,49.0,37.0,46.0,negative_c0
23.0,32.0,48.0,55.0,25.0,35.0,negative_c0
29.0,28.0,48.0,44.0,23.0,34.0,negative_c0
21.0,34.0,48.0,51.0,28.0,39.0,negative_c0
42.0,4.0,48.0,56.0,18.0,3.0,negative_c0
42.0,24.0,48.0,57.0,27.0,37.0,negative_c0
25.0,48.0,48.0,44.0,17.0,29.0,negative_c0
39.0,32.0,48.0,46.0,24.0,35.0,negative_c0
51.0,5.0,48.0,46.0,32.0,35.0,negative_c0
22.0,43.0,48.0,48.0,16.0,28.0,negative_c0
25.0,4.0,48.0,46.0,44.0,52.0,negative_c0
23.0,4.0,48.0,39.0,28.0,38.0,negative_c0
4.0,45.0,48.0,38.0,22.0,0.0,negative_c0
31.0,23.0,48.0,73.0,5.0,14.0,negative_c0
3.0,16.0,48.0,56.0,11.0,23.0,negative_c0
36.0,39.0,48.0,48.0,22.0,23.0,negative_c0
25.0,4.0,48.0,47.0,33.0,42.0,negative_c0
4.0,29.0,48.0,42.0,35.0,44.0,negative_c0
24.0,35.0,48.0,31.0,19.0,31.0,negative_c0
65.0,47.0,48.0,59.0,3.0,4.0,negative_c0
3.0,37.0,48.0,59.0,41.0,49.0,negative_c0
4.0,5.0,48.0,45.0,39.0,47.0,negative_c0
17.0,38.0,48.0,45.0,42.0,5.0,negative_c0
43.0,4.0,48.0,39.0,28.0,39.0,negative_c0
42.0,35.0,48.0,58.0,15.0,27.0,negative_c0
23.0,33.0,48.0,43.0,33.0,43.0,negative_c0
29.0,3.0,48.0,45.0,3.0,17.0,negative_c0
4.0,35.0,48.0,45.0,33.0,42.0,negative_c0
18.0,3.0,48.0,46.0,24.0,35.0,negative_c0
25.0,37.0,48.0,43.0,26.0,36.0,negative_c0
26.0,26.0,48.0,34.0,25.0,35.0,negative_c0
37.0,5.0,48.0,42.0,36.0,45.0,negative_c0
44.0,42.0,48.0,42.0,25.0,2.0,negative_c0
42.0,3.0,48.0,48.0,26.0,36.0,negative_c0
44.0,28.0,48.0,43.0,27.0,37.0,negative_c0
5.0,51.0,48.0,27.0,23.0,34.0,negative_c0
4.0,42.0,48.0,37.0,27.0,27.0,negative_c0
3.0,45.0,48.0,36.0,21.0,32.0,negative_c0
38.0,4.0,48.0,63.0,25.0,35.0,negative_c0
38.0,26.0,48.0,54.0,16.0,28.0,negative_c0
33.0,47.0,48.0,53.0,18.0,29.0,negative_c0
24.0,34.0,48.0,38.0,3.0,4.0,negative_c0
26.0,5.0,48.0,44.0,32.0,41.0,negative_c0
49.0,43.0,48.0,49.0,3.0,4.0,negative_c0
47.0,28.0,48.0,56.0,2.0,25.0,negative_c0
32.0,33.0,48.0,6.0,6.0,2.0,negative_c0
35.0,34.0,48.0,46.0,3.0,27.0,negative_c0
